asset,scientific_role,source_original_path,source_sha256,related_run,copied_or_parsed,notes
analysis/residual_anatomy/FINAL_RESIDUAL_ANATOMY_REPORT.txt,SAM-L020 to LC-RD residual conclusion,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/FINAL_RESIDUAL_ANATOMY_REPORT.txt,765cdadfa3c14eb3574fe0337a04a066ba35eea5be8306d624cf3f9ab3b4d251,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/RESIDUAL_CLASSIFICATION_RULE.json,residual classification definition,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/RESIDUAL_CLASSIFICATION_RULE.json,ed6e345d53608424b8c569d68cf3f398be539941b58667fe81a782df99a71237,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/S150_D2S_CORRECTNESS_CUBE.csv,T0/SAM/L020 correctness overlap counts,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/S150_D2S_CORRECTNESS_CUBE.csv,0ece136240699b4772e0c324f3fbc94afb9afa8921e62f4e393a9912e6119ab5,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/S150_D2S_RESIDUAL_RANK_SEVERITY.csv,GT rank-2/rank-5 residual severity,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/S150_D2S_RESIDUAL_RANK_SEVERITY.csv,a111c3c9e38d0b3a75d85a371a5f5f0b5c3c24149910c35482fc410e16392856,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/S150_D2S_HARD_NEGATIVE_STRUCTURE.csv,hard-negative residual summary,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/S150_D2S_HARD_NEGATIVE_STRUCTURE.csv,55a6a18d79e9dcc932a253ce3638a37a683c220649e7b17fe847a6fb657f371f,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/LOCAL_COVISIBLE_EVIDENCE_AUDIT.json,patch/local positive-evidence audit,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/LOCAL_COVISIBLE_EVIDENCE_AUDIT.json,0eada595abc609215db612de624ddaa9b062910863f31c8f2103942aba2af9e7,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/PATCH_AUDIT_SUMMARY.json,compact patch-evidence summary,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/PATCH_AUDIT_SUMMARY.json,9417ccb426a2e5cb0425195ccfbc803a0bd3e1ca5712a2351638e1689e3c45c6,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_anatomy/SAM_L020_150_D2S_TRANSITION.csv,SAM versus L020 transition summary,<LOCAL_ASSET_ROOT>/SRMD_CLEAN_STAGE3_LEGACY_20260907/results_historical/analysis/SUES150_D2S_RESIDUAL_ANATOMY_20260905/SAM_L020_150_D2S_TRANSITION.csv,911a6d26efd8b0e2cddc82fc9af44a1ceab0a4d0f6fdae74e24bf3b468533c9f,TR-SAM-L020-RHO005-S0/S1,copied,Selected compact final evidence; query-level dumps excluded
analysis/residual_gate/S0_residual_gate_history.csv,standardized residual gate statistics,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S0/residual_gate_history.csv,4b7259f01d5d5d724cb6c5e31c1684cbc7133720d3c65961588ec833df55a451,TR-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/residual_gate/S0_re_lcrd_loss_history.csv,RE-Gated LC-RD loss history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S0/re_lcrd_loss_history.csv,bd29057d31e8b0dbe6af651bf9411206bf4291fb4ce721fa4f52bf5b383a519f,TR-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/residual_gate/S0_re_lcrd_gradient_history.csv,RE-Gated LC-RD gradient history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S0/re_lcrd_gradient_history.csv,afada7044cd188f3865c5dd6a7d093d046aceedbcca5a79c72511f7b3e0595e1,TR-REGLCRD-SAM-L020-BUDGET010-S0,copied,
analysis/residual_gate/S0_residual_gate_definition.json,residual gate definition and frozen recipe,src/checkpoint/middle_teacher/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S0/best_metrics.json,9930d80ed29b1a34f1000ebe29643d6f01f268a7a19867c0a9c7f30e4f262126,TR-REGLCRD-SAM-L020-BUDGET010-S0,parsed,No parameters inferred
analysis/residual_gate/S1_residual_gate_history.csv,standardized residual gate statistics,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S1/residual_gate_history.csv,5340d02f9f7a2c45f59a94cd250d9a7eb218b790372d09596a64f1ce83be3bee,TR-REGLCRD-SAM-L020-BUDGET010-S1,copied,
analysis/residual_gate/S1_re_lcrd_loss_history.csv,RE-Gated LC-RD loss history,<LOCAL_ASSET_ROOT>/MIDDLE_TEACHER_RUN_EXTRAS_ARCHIVE_20260907/run_extras/TRANSFER_RESET_REGLCRD_SAM_L020/TR-REGLCRD-SAM-L020-BUDGET010-S1/re_lcrd_loss_history.csv,78498429a934b19e69ea8dad9ff0454e690a5055daf83f14b472298e09252ec6,TR-REGLCRD-SAM-L020-BUDGET010-S1,copied,
